run_id,stage,axis,level,scenario_key,seed,system,status,fail_reason,divergence_time_s,talk,noise_type,snr_db,ser_db,rt60_target_s,rt60_achieved_echo_s,rt60_achieved_near_s,speaker_mic_distance_m,absorption_calibrated,absorption_sabine_init,filter_length_ms,mu,frame_size,int16_scale,int16_headroom_db,erle_steady_state_db,erle_n_valid_frames,convergence_time_s,converged,segsnr_db,stoi,pesq_wb,lsd_db,misalignment_final_db,audibility_fraction,audibility_excess_db,audibility_n_units,audibility_fraction_traj,audibility_fraction_interp,recon_err_db,recon_err_interp_db,speex_tworun_erle_diff_db,mu_q15,delta_q30,coeff_bits,n_stall_events,stall_first_time_s,n_tap_stalls,n_sat_total,n_sat_y,n_sat_err,n_sat_gain,n_sat_coeff,n_sat_coeff_taps,sat_first_time_s,coeff_div_final_db,coeff_div_steady_db,far_speaker,near_speaker,wall_time_s,git_sha
a.rt60_distance.rt0.2_d1.s2.nlms_f64,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,2,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,0.5,,51534.33086402874,6.0,33.282730685152906,639,1.26,True,,,,,-19.03889951983516,0.7961669991450556,16.551785821987647,14036,0.902536335138216,0.8603590766600171,-16.582481622380378,-19.319729055010733,,,,,,,,,,,,,,,,,8224,908,5.223,3fc93f4
a.rt60_distance.rt0.2_d1.s2.speex,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,2,speex,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,,160,51534.33086402874,6.0,35.930067748393014,639,5.12,True,,,,,,0.5222998005129666,16.246255396290415,14036,,,,,0.0,,,,,,,,,,,,,,,,8224,908,0.247,3fc93f4
a.rt60_distance.rt0.2_d1.s2.nlms_q15,a,rt60_distance,rt0.2_d1,rt0.2_d1_far_single_none_ser0,2,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.19962558834147778,0.20082043661629292,1.0,0.4927683500297412,0.5141930609005995,200.0,0.5,,51534.33086402874,6.0,23.264094990193684,639,4.180000000000001,True,,,,,-14.10880008363935,0.9299658022228555,19.796830591519615,14036,0.9417212881162724,,-19.052557887699024,,,16384,1074,15,125658,0.50025,699053670,496,0,0,496,0,0,0.001375,-18.428579330444336,-18.54444694519043,8224,908,10.574,3fc93f4
a.rt60_distance.rt0.2_d2.5.s0.none,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,0,none,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,,,,51895.39066535614,6.0,-2.0017554937695787e-05,631,0.0,True,,,,,,0.9463333813571532,28.822742933626557,13882,,,,,,,,,,,,,,,,,,,,,260,61,0.47,3fc93f4
a.rt60_distance.rt0.2_d2.5.s0.nlms_f64,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,0,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,0.5,,51895.39066535614,6.0,28.670750808539267,631,3.98,True,,,,,-14.616262167664203,0.60942227344763,16.626507080531724,13882,0.7498199106756951,0.6736061086298805,-15.580647552583574,-20.30059043247904,,,,,,,,,,,,,,,,,260,61,5.049,3fc93f4
a.rt60_distance.rt0.2_d2.5.s0.speex,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,0,speex,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,,160,51895.39066535614,6.0,27.67807325794513,631,5.64,True,,,,,,0.5020170004322144,17.421362550250052,13882,,,,,0.0,,,,,,,,,,,,,,,,260,61,0.227,3fc93f4
a.rt60_distance.rt0.2_d2.5.s0.nlms_q15,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,0,nlms_q15,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,0.5,,51895.39066535614,6.0,19.093400132368416,631,0.33999999999999997,True,,,,,-10.384814359460696,0.9046967295778706,18.162523432152046,13882,0.9080824088748018,,-15.270032379420522,,,16384,1074,15,110197,0.0566875,649544244,682,0,0,682,0,0,6.25e-05,-15.752304077148438,-15.975522994995117,260,61,9.939,3fc93f4
a.rt60_distance.rt0.2_d2.5.s1.none,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,1,none,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,,,,37936.493896351254,6.0,-2.578534277500688e-05,677,0.0,True,,,,,,0.9174959655728886,27.141488655778247,14872,,,,,,,,,,,,,,,,,,,,,7729,1221,0.318,3fc93f4
a.rt60_distance.rt0.2_d2.5.s1.nlms_f64,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,1,nlms_f64,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,0.5,,37936.493896351254,6.0,37.911564710940524,677,5.12,True,,,,,-18.669421079930363,0.4623453469607316,11.89098605950363,14872,0.6363636363636364,0.5786713286713286,-24.515936386108834,-26.25801684255262,,,,,,,,,,,,,,,,,7729,1221,5.053,3fc93f4
a.rt60_distance.rt0.2_d2.5.s1.speex,a,rt60_distance,rt0.2_d2.5,rt0.2_d2.5_far_single_none_ser0,1,speex,ok,,,far_single,none,,0.0,0.2,0.2105648346429411,0.20082043661629292,2.5,0.4927683500297412,0.5141930609005995,200.0,,160,37936.493896351254,6.0,38.44790742543947,677,8.44,True,,,,,,0.49623453469607315,13.566838955068981,14872,,,,,0.0,,,,,,,,,,,,,,,,7729,1221,0.237,3fc93f4
